ATAD1	243	355	558	185	274	673
ATAD2	390	488	693	720	907	1542
ATAD2B	660	888	1158	459	830	825
ATAD3A	84	91	197	195	219	179
ATAD3B	127	122	325	195	367	272
ATE1	108	195.5	324.5	60	244	267.5
ATF1	125	205	301	52	208	385
ATF2	196	245	539	227	312	503
ATF3	409	1361.75	139.25	96.5	929	188.75
ATF4	368.5	289.5	835	345	579	760
ATF5	146	174	526	210	228	305
ATF6	378	369	759	320	487	738
ATF6B	701.5	810	1586	835	1239	1589
ATF7	794.667	826.333	2023.33	179.667	994.333	1605
ATF7IP	1088	1693	2372	1093	1989	3268
